Province,Year,GRDP Capita,GRDP Employed,Health Complaint,Formal Sector,Unemployed Percent,HDI,Gov Spending,Gov CapEx,Poverty,Gini,Decent Sanitation,Clean Water,HS Graduation,Agriculture,Life Expectancy,GRDP Nominal,Population Thousand
LAMPUNG,2016,25568.57,54.4238123723188,27.39,0.299,4.58,67.65,25211.07,5655.41,14.075,0.361,58.58,52.41,47.62,88729.883597,69.965,279417617.21,8205.1
LAMPUNG,2017,26614.88,54.0467948627812,28.52,0.2971,4.38,68.25,28287.3,6474.51,13.365,0.3335,52.89,53.79,48.75,93751.154713938,69.975,306700430.7,8289.6
LAMPUNG,2018,27736.26,53.8296995644767,30.66,0.2921,4.18,69.02,29040.59,6167.26,13.075,0.336,52.48,56.78,54.89,99405.8344027523,70.205,332446070.68,8370.5
LAMPUNG,2019,28894.5,56.238134210272,35.32,0.3151,3.99,69.57,29130.58,4528.49,12.46,0.3305,79.22,73.3,54.87,102702.718023985,70.56,356676828.41,8447.7
LAMPUNG,2020,26743.75,55.1228560158578,31.35,0.2774,4.465,69.69,28595.23,3513,12.55,0.3235,78.81,74.97,57.59,105263.912272193,70.695,353530038.78,9007.8
LAMPUNG,2021,27197.46,56.0125980304561,28.44,0.2869,4.615,69.9,28789.46,3812.11,12.145,0.3185,83.89,80.2,60.09,105585.562327661,70.775,371903171.89,9081.8
KEP. BANGKA BELITUNG,2015,33480.38,68.7282677785852,30.42,0.4587,4.82,69.05,7618.13,1749.32,5.115,0.279,80.8,68.03,43.46,12060.3654339682,69.93,60987324.5,1373.3
KEP. BANGKA BELITUNG,2016,34132.87,74.1547799922511,31.33,0.4443,4.385,69.55,8501.4,1928.42,5.13,0.2815,83.16,63.95,53.84,13117.1859837977,69.965,65048232.09,1401.8
KEP. BANGKA BELITUNG,2017,34933.52,71.8189877842721,27.7,0.5162,4.12,69.99,8216.32,1606.9,5.25,0.279,83.56,68.14,51.55,13143.2135774715,69.985,69865208.41,1430.9
KEP. BANGKA BELITUNG,2018,35762.04,72.1609792202838,29.15,0.4957,3.6,70.67,8657.81,1597.65,5.01,0.2765,85.64,66.83,55.01,13159.3134455574,70.215,73113281.66,1459.9
KEP. BANGKA BELITUNG,2019,37173.14,76.6808371478122,32.76,0.5318,3.45,71.3,9671.95,1821.6,4.56,0.266,90.32,73.45,53.84,13589.8970753801,70.545,75794959.5,1488.8
KEP. BANGKA BELITUNG,2020,36302.97,71.811179683263,31.25,0.4707,4.3,71.47,9037.41,1382.12,4.71,0.2595,92.58,75.06,56.74,15444.1476749973,70.68,75495257.2,1455.7
KEP. BANGKA BELITUNG,2021,37579.45,77.0297423517413,26.16,0.4907,5.035,71.69,8937.95,1370.34,4.785,0.2515,92.24,73.4,63.98,16896.1030522079,70.78,85942704.03,1473.2
KEP. RIAU,2015,78625.43,190.479135625415,21.28,0.719,7.625,73.75,9436.71,1662.44,6.01,0.3515,71.97,84.12,65.28,7087.95960555994,69.46,199570394.48,1982.8
KEP. RIAU,2016,80295.6,196.104993979081,22.17,0.662,8.36,73.99,10519.89,1962.84,5.91,0.353,79.55,85.31,75.93,7729.4694697552,69.49,216007664.12,2028.2
KEP. RIAU,2017,79743.68,168.504945328773,21.46,0.6851,6.8,74.45,11235.23,2105.39,6.095,0.3465,86.33,83.95,83.55,7981.52577228533,69.5,227706877.03,2082.7
KEP. RIAU,2018,81206.2,167.593429285689,22.4,0.6822,7.67,74.84,11649.49,2272.24,6.015,0.3345,85.07,83.56,82.86,8100.2155889017,69.66,248822233.1,2136.5
KEP. RIAU,2019,81138.52,177.464487494975,21.37,0.7043,7.26,75.48,13167.55,2777.8,5.85,0.3385,89.13,88.51,78.14,8223.77009230843,69.825,267631477.89,2189.7
KEP. RIAU,2020,85012.58,164.744394032414,18.21,0.6459,8.16,75.59,12508.82,1843.84,6.025,0.3365,89.19,90.41,78.65,8061.2872083981,69.99,254227859.75,2064.6
KEP. RIAU,2021,85425.89,174.473710372729,14.72,0.648,10.015,75.79,12272.09,1783.65,5.935,0.341,91.62,90.83,81.07,8471.0067934403,70.155,275636327.71,2118.2
DKI JAKARTA,2015,142913.61,286.076418755798,33.39,0.7296,7.795,78.99,43031.32,10244.02,3.77,0.426,89.28,93.4,74.1,1863.90769305006,72.48,1989088747.71,10179
DKI JAKARTA,2016,149831.9,307.703489112303,30.45,0.6871,5.945,79.6,47128.81,8965.47,3.75,0.404,91.13,92.44,74.74,1985.82959801918,72.565,2159073617.96,10277.6
DKI JAKARTA,2017,157636.6,316.368145984893,27.05,0.7155,6.25,80.06,51066.08,11045.72,3.775,0.411,91.13,88.93,78.25,2051.39678603535,72.595,2365353854.95,10374.2
DKI JAKARTA,2018,165768.99,335.743422020228,28.83,0.6985,6.19,80.47,61410.12,14118.61,3.56,0.392,90.73,89.59,83.48,2124.82188921417,72.715,2592606571.93,10467.6
DKI JAKARTA,2019,174812.51,355.141341567949,29.28,0.6865,6.02,80.76,64938.36,11551.93,3.445,0.3905,92.89,99.82,84.35,2189.14463441454,72.82,2815636157.03,10557.8
DKI JAKARTA,2020,170099.68,345.459555665929,33.8,0.6178,8.05,80.77,52088.13,3173.22,4.61,0.3995,93.04,99.84,85.67,2237.5350084945,72.95,2768189732.78,10562.1
DKI JAKARTA,2021,174962.98,378.129073013098,25.98,0.6174,8.505,81.11,61619.04,6865.83,4.695,0.41,95.17,99.86,84.98,2376.80984917501,73.06,2914581082.81,10609.7
JAWA BARAT,2015,25845.5,59.0134864377472,28.11,0.4961,8.56,69.5,95342.23,17859.91,9.55,0.4205,59.43,67.2,48.53,132497.853515579,72.45,1524974827.42,46805.4
JAWA BARAT,2016,26923.51,62.9093157427941,28.32,0.5136,8.73,70.05,107328.81,19959.61,8.86,0.4075,63.79,67.62,55.03,146767.935174102,72.48,1653238421.97,47379.4
JAWA BARAT,2017,27970.92,64.8412424230316,29.26,0.5022,8.355,70.69,116797.11,18525.8,8.27,0.398,64.4,70.5,48.32,152939.42587272,72.5,1788117361.36,48037.6
JAWA BARAT,2018,29160.06,67.4264347900428,31.03,0.5179,8.225,71.3,119963.28,17845.53,7.35,0.406,64.73,71.06,61.04,170155.209931702,72.69,1960627652.47,48683.7
JAWA BARAT,2019,30413.37,67.3322010936201,33.09,0.498,7.91,72.03,129716.96,19634.12,6.865,0.399,69.64,92.3,57.46,186441.34851392,72.92,2123153711.49,49316.7
JAWA BARAT,2020,30180.54,64.2613480471105,32.04,0.4441,9.085,72.09,128048.15,14070.13,8.155,0.4005,71.4,93.42,63.56,192139.114430072,73.15,2084620246.45,48274.2
JAWA BARAT,2021,30907.59,67.5765362472624,29.74,0.4539,9.37,72.45,130637.22,15530.13,8.185,0.409,71.66,93.24,64.89,188617.984434827,73.38,2209822383.53,48782.4
JAWA TENGAH,2015,23887.06,46.5745253323442,35.52,0.3828,5.15,69.49,79004.71,13019.98,13.45,0.382,67.2,73.63,43.86,157201.72392,74,1010986637.17,33728.9
JAWA TENGAH,2016,24959.49,49.4753952041752,33.39,0.3783,4.415,69.98,90731.44,17234.13,13.23,0.3615,70.66,76.3,44.59,164512.01325,74.045,1087316682.68,34019.1
JAWA TENGAH,2017,26088.91,51.2366558965102,32.72,0.3971,4.36,70.52,97417.66,16075.27,12.62,0.365,71.84,76.09,51.52,168806.51872,74.09,1172794523.68,34257.9
JAWA TENGAH,2018,27285.25,53.3496112607231,34.36,0.3933,4.33,71.12,100372.35,15532.09,11.255,0.3675,74.04,78.16,55.62,178352.88412,74.19,1268261165.59,34490.8
JAWA TENGAH,2019,28695.92,55.180376622187,36.83,0.4201,4.315,71.73,106293.66,15513.38,10.69,0.359,80.29,93.82,49.79,184130.94427,74.245,1360960130.98,34718.2
JAWA TENGAH,2020,26483.64,53.2043939672719,35.63,0.3725,5.34,71.87,101430.17,9914.82,11.625,0.3605,83.24,94.07,55.82,192610.18866,74.405,1347922689.03,36516
JAWA TENGAH,2021,27143.42,56.3396973706822,29.81,0.3962,5.955,72.16,103814.45,11376.72,11.52,0.37,83.28,93.62,59.9,196876.4728,74.515,1420799908.38,36742.5
DI YOGYAKARTA,2015,22688.36,41.4753916276546,39.58,0.4879,4.07,77.59,12127.25,2109.89,14.035,0.4265,86.31,80.99,80.77,10793.8400852189,74.72,101440518.44,3669.2
DI YOGYAKARTA,2016,23565.68,43.0282931589154,35.98,0.4509,2.765,78.38,13043.42,2219.09,13.22,0.4225,85.78,81.04,79.95,11456.1729714531,74.73,109962353.61,3720.9
DI YOGYAKARTA,2017,24533.8,44.8954730550048,32.9,0.4345,2.93,78.89,14262.57,2709.9,12.69,0.436,89.4,77.19,85.53,11932.9763486199,74.76,119128718.83,3762.2
DI YOGYAKARTA,2018,25776.31,46.3504704507756,35.32,0.4555,3.185,79.53,14948.19,2852.72,11.97,0.4315,88.92,80.62,81.96,12700.2136870158,74.84,129818357.94,3802.9
DI YOGYAKARTA,2019,27008.68,48.0541826800581,35.67,0.4836,3.035,79.99,16143.71,3066.6,11.57,0.424,94.67,94.94,84.54,13237.3806422239,74.945,141047688,3842.9
DI YOGYAKARTA,2020,27750.38,47.7277846400521,38.07,0.4259,3.975,79.97,14851.76,2289.87,12.54,0.4355,96.96,96.02,87.99,14087.4469630192,75.025,138306833.26,3668.7
DI YOGYAKARTA,2021,28901.58,48.7432048532188,30.2,0.4464,4.42,80.22,15581.24,2037.65,12.355,0.4385,97.12,95.69,90.12,14521.6907916218,75.08,149369169.14,3712.9
JAWA TIMUR,2015,34271.81,67.2398791104864,33.45,0.3681,4.39,68.95,99173.1,18679.21,12.31,0.409,63.48,76.64,52.04,230942.4595,70.73,1691477062.3,38784.3
JAWA TIMUR,2016,35970.78,71.5348096687485,29.88,0.3788,4.175,69.74,107385.11,20541.37,11.95,0.402,68.15,75.83,55.13,249453.633222,70.74,1855738429.17,39075.3
JAWA TIMUR,2017,37724.29,73.9880929614757,31.48,0.3865,4.05,70.27,113142.67,20224.43,11.485,0.4055,68.83,75.54,59.9,258454.421393,70.76,2012917991.96,39293
JAWA TIMUR,2018,39579.95,75.8754660647393,33.8,0.3812,3.84,70.77,116724.14,18572.38,10.915,0.375,68.84,75.2,62.48,259263.027181719,70.93,2188766345.09,39500.9
JAWA TIMUR,2019,41512.2,77.9953548445837,35.59,0.3936,3.795,71.5,129179.51,21119.93,10.285,0.367,78.78,94.39,57.74,266395.839573088,71.225,2345548552.28,39698.6
JAWA TIMUR,2020,39689.02,74.2273611837592,32.8,0.3636,4.72,71.71,122610.1,14474.64,11.275,0.365,80.98,95.56,63.53,273542.814228985,71.345,2299791051.72,40665.7
JAWA TIMUR,2021,40830.88,79.3656900411023,28.55,0.3736,5.455,72.14,126962.87,14922.09,10.995,0.369,80.97,95.02,66.33,282386.484143039,71.43,2454498796.27,40878.8
BANTEN,2015,30813.03,70.731279391827,30.34,0.6146,9.065,70.27,26983.35,6363.91,5.825,0.3935,67.04,67.68,52.95,28121.5375789749,69.475,479300443.65,11967.6
BANTEN,2016,31781.56,74.0952975426965,28.3,0.6151,8.435,70.96,29984.18,6687.28,5.39,0.393,73.42,67.47,60.83,31184.9771172743,69.49,517898343.55,12203.1
BANTEN,2017,32947.6,74.4761848280947,27.51,0.5807,8.515,71.42,32208.18,7114.91,5.52,0.3805,71.68,66.11,59.87,33265.7107557676,69.52,563597700.48,12448.2
BANTEN,2018,34183.75,76.9655408721406,32.41,0.5601,8.095,71.95,34150.82,6926.22,5.245,0.376,70.65,72.83,67.54,35573.8165080149,69.67,613804414.41,12689.7
BANTEN,2019,35913.9,80.4785700311731,34.29,0.5786,7.83,72.44,36934.2,6871.9,5.015,0.3655,81.01,91.64,56.94,37018.3531756729,69.89,661321340.75,12927.3
BANTEN,2020,37164.35,78.6164896855939,32.22,0.5083,9.315,72.45,32749.66,4278.88,6.275,0.364,82,92.87,64.24,39008.7550269149,70.005,625979345.13,11904.6
BANTEN,2021,38199.27,81.01749070278,28.41,0.5113,8.995,72.72,36102.66,5311.57,6.58,0.364,82.89,93.51,66.9,40237.6457465573,70.07,665921915.45,12061.5
BALI,2015,31093.61,53.2442684336334,35.29,0.472,1.68,73.27,18830.3,2835.91,4.995,0.388,85.46,91.27,69.08,25843.6467977669,71.4,176412667.66,4148.4
BALI,2016,32689.09,58.8733607739753,31.18,0.4568,2.005,73.65,22046.85,4085.34,4.2,0.37,89.33,88.71,73.65,28143.7852551407,71.435,194089575.08,4200.1
BALI,2017,34129.84,59.4599666747898,28.9,0.502,1.38,74.3,24057.36,3974.13,4.195,0.3815,90.51,90.85,74.62,29782.3420558892,71.465,213035855.32,4246.5
BALI,2018,35896.35,58.7974503901508,30.33,0.5062,1.14,74.77,24932.93,3146.07,3.96,0.3705,91.14,90.9,78.67,32126.0839574927,71.685,233636772.68,4292.2
BALI,2019,37297.5,63.8549296919492,28.53,0.5054,1.395,75.38,26067.82,3038.86,3.7,0.37,94.59,96.84,64.52,33881.2723827219,72,251934097.83,4336.9
BALI,2020,34221.73,56.5882613162015,25.48,0.4331,3.44,75.5,22604.13,2157.82,4.115,0.369,95.01,97.36,74.88,33834.5417144746,72.155,223900894.64,4317.4
BALI,2021,32977.09,59.2720280848189,23.62,0.429,5.395,75.69,21726.64,2576.89,4.625,0.3765,95.95,97.56,75.86,34541.5121879418,72.28,219800030.51,4362.7
NUSA TENGGARA BARAT,2015,18475.14,38.9976946578414,34.87,0.268,5.335,65.19,15166.61,3158.41,16.82,0.364,63.72,71.7,51.83,22480.15599,65.425,105664742.46,4846.7
NUSA TENGGARA BARAT,2016,19305.79,41.1791415462214,34.64,0.2689,3.8,65.81,17375.06,3650.43,16.25,0.362,70.31,73.98,55.01,24661.772646,65.47,116464762.18,4896.2
NUSA TENGGARA BARAT,2017,19091.26,39.0386471146506,30.89,0.2638,3.59,66.58,20234.99,4628.11,15.56,0.3745,69.25,70.48,59.1,27183.243874,65.495,123822764.66,4955.6
NUSA TENGGARA BARAT,2018,18020.5,36.1928551290397,38.62,0.2819,3.43,67.3,20385.98,4021.46,14.69,0.3815,73.7,73.61,52.6,29088.8100148664,65.815,123868015.43,5013.7
NUSA TENGGARA BARAT,2019,18219.11,36.9735487264604,44.39,0.2898,3.215,68.14,21184.11,4098.16,14.22,0.377,80.02,93.93,57.6,30364.747674474,66.24,132500099.76,5070.4
NUSA TENGGARA BARAT,2020,17583.11,36.5190113872264,44,0.2653,3.63,68.25,20165.39,2755.42,14.1,0.381,82.89,94.13,64.66,30976.8418472484,66.51,133613744.17,5320.1
NUSA TENGGARA BARAT,2021,17706.29,36.1715307536389,42.15,0.2611,3.49,68.65,20487.56,2797.22,13.985,0.3825,82.85,94.6,65.71,31960.4061184161,66.735,140153319.13,5390
NUSA TENGGARA TIMUR,2015,11087.91,24.3595644860792,37.03,0.214,3.475,62.67,19979.65,4382.45,22.595,0.3435,23.9,62.72,37.78,22752.4464119832,66,76120790.89,5126.1
NUSA TENGGARA TIMUR,2016,11468.79,25.3127777839045,31.81,0.252,3.42,63.13,24103.87,5478.74,22.1,0.349,40.46,60.04,48.95,24309.2827475937,66.045,83742790.3,5203.5
NUSA TENGGARA TIMUR,2017,11863.41,25.8895399802461,34.86,0.2414,3.24,63.73,25344.36,5040.32,21.615,0.359,45.31,65.2,41.44,26147.6991346462,66.08,90758927.03,5287.3
NUSA TENGGARA TIMUR,2018,12273.85,24.2842069836826,37.71,0.2435,2.835,64.39,26052.58,4802.65,21.19,0.355,50.72,72.41,43.41,28035.0920870423,66.395,98930187.65,5371.5
NUSA TENGGARA TIMUR,2019,12761.98,25.8684030741299,40.39,0.2774,3.06,65.23,27845.86,5292.96,20.855,0.3575,64.55,82.35,43.85,29804.4887772787,66.895,106731763.32,5456.2
NUSA TENGGARA TIMUR,2020,12960.95,24.7091315807617,34.44,0.239,3.46,65.19,27332.42,4298.75,21.055,0.355,69.7,83.87,50.65,30355.0894337932,67.055,106480968.02,5325.6
NUSA TENGGARA TIMUR,2021,13092.38,25.3415528587159,30.14,0.2403,3.575,65.28,26719.3,4044.27,20.715,0.3425,73.36,85.4,44.88,32343.3783129271,67.195,110885751.03,5387.7
KALIMANTAN BARAT,2015,23456.52,49.7705681938499,25.62,0.3444,4.965,65.59,20182.88,4555.77,8.235,0.332,39.78,68.39,35.69,30127.0348373003,69.92,146653547.21,4795.5
KALIMANTAN BARAT,2016,24308.85,51.2697890830215,24.93,0.3819,4.405,65.88,22538.02,5483.47,7.935,0.336,52.06,66.19,35.69,32627.5623819065,69.94,161364237.45,4861.7
KALIMANTAN BARAT,2017,25198.01,51.8006879964057,24.5,0.3857,4.29,66.26,23828.52,5466.27,7.87,0.328,49.65,68.77,42.7,36026.7461247226,69.95,177493653.83,4932.5
KALIMANTAN BARAT,2018,26110.57,51.547808205174,28.68,0.4045,4.135,66.98,24182.51,4810.37,7.57,0.332,53.97,72.88,47.66,39178.0201286061,70.21,194138220.75,5001.7
KALIMANTAN BARAT,2019,27199.78,53.8986231300949,27.52,0.3989,4.205,67.65,25599.52,5091.94,7.385,0.324,72.08,77.07,49.29,42624.2612839018,70.61,212150332.22,5069.1
KALIMANTAN BARAT,2020,24953.61,53.2285674155639,25.84,0.3699,5.14,67.66,24826.92,3990.55,7.205,0.321,75.81,78.83,55.23,44753.6273044009,70.735,214001753.68,5414.4
KALIMANTAN BARAT,2021,25807.4,55.7083372849636,21.32,0.3913,5.775,67.9,26117.75,4670.5,6.995,0.314,78.39,78.76,54.27,49126.0746725642,70.805,231321163.28,5470.8
KALIMANTAN TENGAH,2015,31619.18,63.2329679053946,25.39,0.4556,3.84,68.53,17630,5089.59,5.925,0.313,35.88,57.01,47.28,23015.5423715629,69.58,100063520.14,2497.3
KALIMANTAN TENGAH,2016,32899.58,67.7337509051997,25.47,0.4135,4.245,69.13,19041.42,5271.95,5.51,0.3385,50.97,61.26,52.42,24532.0706338468,69.585,111967018.47,2550.2
